,0,1,2,3
20,cafesarrk,햄버거 타임❤맛있다,[],28
21,hey_laura_official,"거부할 수 없는 맛. 기분 좋은 하루가 되고 싶다면 당신의 하루를 헤이,로라에 맡기세요.#헤이로라",['#헤이로라'],69
22,sangheum9015,#어제 #오랜만에 #햄버거 #맥도날드 #행운버거 #행운버거골드스폐셜 #컬리후라이 #스프라이트 #mcdonalds #hamburger #luckyburger,"['#어제', '#오랜만에', '#햄버거', '#맥도날드', '#행운버거', '#행운버거골드스폐셜', '#컬리후라이', '#스프라이트', '#mcdonalds', '#hamburger', '#luckyburger']",9
23,ludobabadjo,"🍔 Dino Diner, Fujikawaguchiko, JapanCarnival Burger: camembert cheese, fried tomato, bacon, original sauce, beef and pork patty, onion, lettuce and tomato#バーガー #美味 #ランチ #美味しい #food #うまい #맛있다 #lunch #맛있다그램 #おいしい #hamburger #burger #먹스타그램 #먹스타 #delicious #맛집 #yummy #맛스타 #美味しかった #食べスタグラム #버거 #햄버거 #yum #diner #ハンバーガー #foodie #foodporn #foodgasm #점심 #맛스타그램","['#バーガー', '#美味', '#ランチ', '#美味しい', '#food', '#うまい', '#맛있다', '#lunch', '#맛있다그램', '#おいしい', '#hamburger', '#burger', '#먹스타그램', '#먹스타', '#delicious', '#맛집', '#yummy', '#맛스타', '#美味しかった', '#食べスタグラム', '#버거', '#햄버거', '#yum', '#diner', '#ハンバーガー', '#foodie', '#foodporn', '#foodgasm', '#점심', '#맛스타그램']",25
24,ljs051500,아이밥상후다닥 떡갈비 한장 꺼내서햄버거 만들어 주고 외출ㅡㅡ#아침 #점심 #저녁 #플레이팅 #그릇 #그릇스타그램 #집밥 #혼밥 #집밥스타그램 #상차림 #오늘의밥상 #오늘뭐먹지#홈스위트홈 #홈쿡 #아침메뉴#홈메이드 #온더테이블 #점심메뉴 #저녁메뉴 #식사#아이밥상 #방학식단 #햄버거 #홈메이드버거 #수제버거,"['#아침', '#점심', '#저녁', '#플레이팅', '#그릇', '#그릇스타그램', '#집밥', '#혼밥', '#집밥스타그램', '#상차림', '#오늘의밥상', '#오늘뭐먹지', '#홈스위트홈', '#홈쿡', '#아침메뉴', '#홈메이드', '#온더테이블', '#점심메뉴', '#저녁메뉴', '#식사', '#아이밥상', '#방학식단', '#햄버거', '#홈메이드버거', '#수제버거']",31
25,gutsy_dandy,6개월만에 먹는 shake shack burger#6개월 #shakeshack #burger #용산쉑쉑버거 #스모크쉑버거 #감자튀김 #콜라 #꿀맛 #존맛 #좋아요 #좋아요반사 #팔로우미 #팔로우환영 #팔로잉 #먹스타그램 #햄버거,"['#6개월', '#shakeshack', '#burger', '#용산쉑쉑버거', '#스모크쉑버거', '#감자튀김', '#콜라', '#꿀맛', '#존맛', '#좋아요', '#좋아요반사', '#팔로우미', '#팔로우환영', '#팔로잉', '#먹스타그램', '#햄버거']",14
26,matj_ip55,이런곳 가서 안먹은지 너무 오래됐다 ㅠㅠㅠ#피자 #샐러드 #햄버거 #맛집 #맛스타그램 #인스타그램 #일상 #일상스타그램 #데일리 #데일리그램 #주말 #선팔 #맞팔 #선할하면맞팔 #서울 #합정 #압구정 #로데오거리 #명동 #홍대 #이대 #영화 #리뷰,"['#피자', '#샐러드', '#햄버거', '#맛집', '#맛스타그램', '#인스타그램', '#일상', '#일상스타그램', '#데일리', '#데일리그램', '#주말', '#선팔', '#맞팔', '#선할하면맞팔', '#서울', '#합정', '#압구정', '#로데오거리', '#명동', '#홍대', '#이대', '#영화', '#리뷰']",5
27,gusghk7857,#린어린이집#린도날드#햄버거 세트#감자튀김🍟 #무지개반 친구 귀염둥이,"['#린어린이집', '#린도날드', '#햄버거', '#감자튀김🍟', '#무지개반']",1
28,hey_laura_myluv,믿고 먹는 버거. #헤이로라,['#헤이로라'],22
29,black_cobra_66,#햄버거 #수제햄버거 #맛요리 #맛점 집에서 만들어 먹는 햄버거물론 버거빵은 아니지만.손주들이 맛있다고 잘먹네 ㅎㅎ,"['#햄버거', '#수제햄버거', '#맛요리', '#맛점']",2
