,Contents,Like,ID,Tags
492, 롯데마트 무진 홍보 하는날 챙겨보내주신 마음 감사합니다 잘먹었습니다  모바일교환권 점심 롯데리아 햄버거 포테이토 불고기버거 세트 워킹맘일상기록ing,34,hoy.true_name,"['#모바일교환권', '#점심', '#롯데리아', '#햄버거', '#포테이토', '#불고기버거', '#세트', '#워킹맘일상기록ing']"
493, 퍽앤어니언  puck_n_onion 골목길에 있던 간판이 귀여웠던 퍽앤어니언   감튀도 두툼하고 패티가 진짜 맛있다     서울 성북구 고려대로28길 17 3 101호 퍽앤어니언,92,hi__jmt,['#퍽앤어니언']
494, 우리동네 수제버거집 한입 가득물면 소고기패티의육즙 팡파레 딱 기본재료이지만 프리미엄버거를시킨듯 맛있었다 또 시즈닝 감자튀김 수북히쌓여서한세트먹으면 배터짐 주인이 바뀌어서 그맛을느끼지못하지만 추억의 수제버거 No 1  ,61,goo_zzang,[]
495,46일째책을 보게된 뒤로뇌를 너무 일 시켜서   하고싶은 것도 많아졌어요   오늘부터10페이지씩 3권을 돌아가면서읽기로 했어요  뒷내용이 궁금하지만 읽지 않고내일을 기다리는것이  포인트   추천해준 작가님은10권씩 돌려가며 읽었다고 전 무리   하지 않고 할수 있는만큼만읽기로 했어요   저랑 같이 해보아용     ,18,shysora88,[]
496,뚝딱      대구  중구  햄버거  닭강정 맘스터치 daily,71,castle_ship_,"['#대구', '#중구', '#햄버거', '#닭강정', '#맘스터치', '#daily']"
497,첫 줄   안녕    ver 23 01 12  맑음       22년 힘낸 바이어들과 오늘도 즐겁게 보냈나요오늘도 행복하셨나요오늘도 웃으며 시작하고 웃으며 마무리하셨나요 컨디션    좋음        날씨가 좋아서    출근 길이 좋아서    그냥 이런 생활에 감사하며    이 모든 것이 행복하다아침    볶음밥 피코크       역시 맛있어요  먹기 좋고 편하고      점심    햄버거 자니로켓 직원식당       포장해서 한강을 보며 먹었죠  따릉이타고 팔각정에서 먹은 햄버거는 최고의 맛저녁    한식  한음  성수동        보쌈  육회  새우튀김  메밀전병  라면 막걸리 5병  음   젊은 분위기 좋다  하지만 좁고 화장실은 공용 ㅠㅠ3시간까지만   먹을만하다오늘 운동    오운완     점심    자전거  한강  뚝섬유원지       좋아 너무 좋아 금연   D   626 운동   21  04  26 시작 자린이   21  09  01 시작 바린이   21  07  16 시작 23년 약속 진행 중   part6  주에 5일 영어 쓰기I m sorry for the defecitve goods 제품 결함에 있었다는 것에 대해 사과드립니다  골목대장  건강하기  인생즐기기  당뇨 아프지말자  건강이최고  공복혈당 모든것이진심  혈압  노담  다이어트  사진못찍는남자우리가 잊지 말아야 할 분명한 사명 하나  우리는 이 땅에 괴롭기 위해 불행 하기 위해 태어난 것이 아니라  오직 행복 하기 위해 태어 났다는 것 모두 행복 하세요     우리들의 블루스 중에서   ,23,healthy_golmok_boss,"['#볶음밥', '#햄버거', '#한식', '#한음', '#성수동', '#오운완', '#자전거', '#한강', '#뚝섬유원지', '#금연', '#운동', '#자린이', '#바린이', '#골목대장', '#건강하기', '#인생즐기기', '#당뇨', '#아프지말자', '#건강이최고', '#공복혈당', '#모든것이진심', '#혈압', '#노담', '#다이어트', '#사진못찍는남자우리가']"
498,참깨빵 위  에   순 쇠고  ㄱ     ,58,shiba_loma_,[]
499,2022 01 12Hyper realism   Hamburger  재밌었다   헤헤,24,dddraw_2eeing,[]
500,심플한 캠핑 아침 식사       핫도그 번에 소시지 하나 간단히 올리면 끝  샐러드에 소시지 곁들여도 맛나네요     johncook_official   스모크 초리조 스페인스타일 소시지로 매콤한 감칠맛과 훈연향 풍미 가득   스모크 페퍼로니미국 오리지널 스타일로 톡 쏘는 매콤한 페퍼로니 맛 일품     협찬  존쿡  존쿡델리미트  존쿡메이트  스모크초리조  스모크페퍼로니  소시지  스모크소시지  미국소시지  스페인소시지  페퍼로니  초리조  안주  맥주안주  와인안주  위스키안주  위스키  햄버거  캠핑요리 캠핑  아웃도어  핫도그,345,guma0016,"['#협찬', '#존쿡', '#존쿡델리미트', '#존쿡메이트', '#스모크초리조', '#스모크페퍼로니', '#소시지', '#스모크소시지', '#미국소시지', '#스페인소시지', '#페퍼로니', '#초리조', '#안주', '#맥주안주', '#와인안주', '#위스키안주', '#위스키', '#햄버거', '#캠핑요리', '#캠핑', '#아웃도어', '#핫도그']"
501,햄버거는 먹어도 먹어도 맛있엉    흰옷에 결국       악ㅎㅎㅎ       햄버거  맛있어요  롯데리아  흰옷에  피팅모델  잡지모델  hamburger,20,mgongju00,"['#햄버거', '#맛있어요', '#롯데리아', '#흰옷에', '#피팅모델', '#잡지모델', '#hamburger']"
