Category,ID,Contents,Tags,Tags_sum,Tags_count,Tags_rate,Likes,Scaled_likes
햄버거,chopchop_lu1,            촵촵버거 루원시티점            촵촵버거에서는 세트를 먹을 때 탄산음료만 있다 아니다  아니다          쏴리질러      그동안 저희 매장이용고객님들이 탄산음료만있어서 아쉬워하셔서 준비했습니다  새로 추가된 음료를 소개합니댜  세트에서 탄산음료를 다른 음료로 변경 시    단품 구매 시  ICE아메리카노로 변경  500원    2000원  HOT아메리카노로 변경  500원    2000원  청포도에이드로 변경  1500원    3500원  레몬에이드로 변경  1500원    3500원  자몽에이드로 변경  1500원    3500원 병원간식  학교간식  교회간식  간식주문 배달의민족  서구e음  배달  주문 촵촵버거루원시티점  촵촵버거  토마토  햄버거  수제버거      인천루원시티맛집  루원시티맛집  가정동맘  신현동맛집  청라맛집  배달가능  포장가능  단체주문가능  냠냠  가정동햄버거  청라햄버거  루원시티햄버거  햄버거맛집  수제버거맛집,"#병원간식, #학교간식, #교회간식, #간식주문, #배달의민족, #서구e음, #배달, #주문, #촵촵버거루원시티점, #촵촵버거, #토마토, #햄버거, #수제버거, #??, #인천루원시티맛집, #루원시티맛집, #가정동맘, #신현동맛집, #청라맛집, #배달가능, #포장가능, #단체주문가능, #냠냠, #가정동햄버거, #청라햄버거, #루원시티햄버거, #햄버거맛집, #수제버거맛집",28,17,60.71,10,0.001299883010529
햄버거,ewangdentalvip,2023년 올해 들어 첫 사진이네요    2022년 마무리는 다들 잘 하셨나요 새해 모두 복 많이 받으세요 설 전에 미리미리 치과오세요   올해 첫 스케일링  미뤄두신 치과검진 생각 있으시면  이왕이면 이왕치과입니다 이왕치과  054 372 2804  경상북도 청도군 청도읍청화로 154 401호 이왕치과  청도치과  대구치과  경산치과  치과  경북치과  스케일링  임플란트  보철치료  충치치료  구강검진  친절치과  따뜻한스케일링  검진  선물  맛집  대구맛집  경산맛집  청도맛집  서비스  사랑  사랑합니다  대구  경산  청도,"#이왕치과, #청도치과, #대구치과, #경산치과, #치과, #경북치과, #스케일링, #임플란트, #보철치료, #충치치료, #구강검진, #친절치과, #따뜻한스케일링, #검진, #선물, #맛집, #대구맛집, #경산맛집, #청도맛집, #서비스, #사랑, #사랑합니다, #대구, #경산, #청도",25,0,0.0,10,0.001299883010529
햄버거,_jy_sa_,어제 낮부터 만나서 새벽에 헤어짐도 모자라 내리자마자 다시 통화시작    ㅋㅋㅋ  할말많아   평일  엄마찬스 오랜만에  친구랑  브런치  야당맛집  톰바그  햄버거  햄버거맛집  새벽까지  얼마만이야,"#평일, #엄마찬스, #오랜만에, #친구랑, #브런치, #야당맛집, #톰바그, #햄버거, #햄버거맛집, #새벽까지, #얼마만이야",11,4,36.36,26,0.0033796958273755
햄버거,hangaroundburger,西新井デリバリ  快バ ガ  クリスマスバ ガ  こんにちは バ ガ さんぽです 年末に家で作業しててハンバ ガ 食べたくなり Uber eatsでクリスマス 快バ ガ をオ ダ しました  さんぽじゃない   白いバンズに パイナップルやベ コン ハニ マスタ ドが魅力的 メニュ の  は白いバンズでしたが 空海さまの頭のあたりがこんがり  そしてUberの長旅でバンズの空海さまがちょっとしんなりされてました 長旅お疲れ でございます 空海 もクリスマスお祝いされるのですね お味は長旅にも負けず最高においしかったです また限定バ ガ 出たら食べたいなぁ  バ ガ 厚みMax開けた口倍率1 2倍 デリバリ により店 より ポイント減  肉うま度    クリスマス度    やっぱり空海 度    ハンバ ガ  ハンバ ガ 大好き グルメバ ガ  バ ガ 巡り ハンバ ガ 巡り ハンバ ガ の  を見るのが大好き やっぱりハンバ ガ  ついついハンバ ガ  ハンバ ガ 好きな人と がりたい hamburger  ilovehamburger  햄버거 hamburguesa гамбургер,"#ハンバ?ガ?, #ハンバ?ガ?大好き, #グルメバ?ガ?, #バ?ガ?巡り, #ハンバ?ガ?巡り, #ハンバ?ガ?の??を見るのが大好き, #やっぱりハンバ?ガ?, #ついついハンバ?ガ?, #ハンバ?ガ?好きな人と?がりたい, #hamburger, #ilovehamburger, #햄버거, #hamburguesa, #гамбургер",14,18,128.57,4,0.0005199532042116
햄버거,aeristar_kr, 멜란지그레이  그린컬러 햄버거후드티   애리스타 김애리 대표가 자체 제작한 멜팅소울 오버핏 햄버거 후드티신제품 출시했습니다   대한민국 1호 컬러리스트 김민경이  햄버거 디자인  뉴컬러새로운 컨셉으로 햄버거디자인을 시리즈로 선보이는  후드티   코튼 100 의 프리미엄 원단 사용과 안쪽 면의기모 처리로 착용감이 부드럽고 따뜻합니다  다양한 코디가 가능한 에디션 아이템입니다  한정 판매로 매번 새로운 디자인으로 선보이는애리스타 햄버거 디자인 시리즈는 재고 소진 시 재입고 일정이 없어서둘러 구매해주세요    컬러   멜란지그레이  그린   사이즈   1   가격   67 000원 배송비 별도   aeri_christina  aeristar_kr  aeristar_official  colorist_kmk   애리스타  aeristar 대한민국컬러리스트1호 한국케엠케색채연구소대표 대한민국감성색채디자인협회회장 컬러리스트김민경  퍼스널컬러,"#햄버거, #뉴컬러새로운, #애리스타, #aeristar, #대한민국컬러리스트1호, #한국케엠케색채연구소대표, #대한민국감성색채디자인협회회장, #컬러리스트김민경, #퍼스널컬러",9,2,22.22,4,0.0005199532042116
햄버거,new_c_2,  햄버거먹자 롯데리아  롯데리아촵딱체  롯데리아폰트  촵땡겨  딱붙어  맛있다  햄버거,"#롯데리아, #롯데리아촵딱체, #롯데리아폰트, #촵땡겨, #딱붙어, #맛있다, #햄버거",7,2,28.57,26,0.0033796958273755
햄버거,aeristar_official, 멜란지그레이  그린컬러 햄버거후드티   애리스타 김애리 대표가 자체 제작한 멜팅소울 오버핏 햄버거 후드티신제품 출시했습니다   대한민국 1호 컬러리스트 김민경이  햄버거 디자인  뉴컬러새로운 컨셉으로 햄버거디자인을 시리즈로 선보이는  후드티   코튼 100 의 프리미엄 원단 사용과 안쪽 면의기모 처리로 착용감이 부드럽고 따뜻합니다  다양한 코디가 가능한 에디션 아이템입니다  한정 판매로 매번 새로운 디자인으로 선보이는애리스타 햄버거 디자인 시리즈는 재고 소진 시 재입고 일정이 없어서둘러 구매해주세요    컬러   멜란지그레이  그린   사이즈   1   가격   67 000원 배송비 별도   aeri_christina  aeristar_kr  aeristar_official  colorist_kmk   애리스타  aeristar 대한민국컬러리스트1호 한국케엠케색채연구소대표 국립현대미술관문화재단이사 대한민국감성색채디자인협회회장 컬러리스트김민경  퍼스널컬러,"#햄버거, #뉴컬러새로운, #애리스타, #aeristar, #대한민국컬러리스트1호, #한국케엠케색채연구소대표, #국립현대미술관문화재단이사, #대한민국감성색채디자인협회회장, #컬러리스트김민경, #퍼스널컬러",10,2,20.0,4,0.0005199532042116
햄버거,9n29n2, 진해  햄버거  미드나잇버거,"#진해, #햄버거, #미드나잇버거",3,3,100.0,6,0.0007799298063174
햄버거,ssalburger,쌀버거 다이닝 이라는 이름으로 새로 거듭나서 신메뉴를 출시 엄청난 반응이라 어제 재료 소진으로 오늘 다시 울산 농수산물 시장에 장보기 클리어싱싱하고 신선한 재료로 열일 시작Https   blog naver com ssalburger 간절곶쌀버거  쌀버거  햄버거  수제버거  수제햄버거  필라프  목살필라프  새우필라프  파스타  해장파스타  짭뽕파스타  패밀리세트  포테이토,"#간절곶쌀버거, #쌀버거, #햄버거, #수제버거, #수제햄버거, #필라프, #목살필라프, #새우필라프, #파스타, #해장파스타, #짭뽕파스타, #패밀리세트, #포테이토",13,8,61.54,4,0.0005199532042116
햄버거,thepeopleburger_official,       _            _                불타는 금요일      더피플버거는    오늘도 활짝 열려있습니다         한우A  로 만든 버거    버거의 단짝 감자튀김  크리스피한겉바속촉의 정석 어니언링    빠지면 아쉬운버팔로윙까지    사이드까지 완벽한 맛  연신내에 오면 꼭 먹어봐야 하는 버거        더피플버거   서울 은평구 연서로29길 11 6 1층  11 00   23 00  연중무휴    수제버거맛집  햄버거  버거맛집  로봇버거배달  연신내배달맛집 로봇배달  은평구버거  연신내핫플  버거로봇  햄버거맛집  은평구배달  은평구햄버거  은평구핫플  서빙로봇맛집  연신내맛집  은평구맛집  은평구배달맛집  버거  은평구수제버거  한우버거 연신내배달,"#더피플버거??, #수제버거맛집, #햄버거, #버거맛집, #로봇버거배달, #연신내배달맛집, #로봇배달, #은평구버거, #연신내핫플, #버거로봇, #햄버거맛집, #은평구배달, #은평구햄버거, #은평구핫플, #서빙로봇맛집, #연신내맛집, #은평구맛집, #은평구배달맛집, #버거, #은평구수제버거, #한우버거, #연신내배달",22,18,81.82,165,0.0214480696737293
