Contents,Like,ID,Tags
 출시했던날부터 너무 인기많는 펜킹탉   ppenking  곧 새 버전의 브랜드와 콜라보한 탉 출시예정     2023 01 KR  la    ,200.0,jason.j.oh,"['#la', '#🇺🇸']"
 강남  홍대  광주  고1  고2  고3  얼짱  얼스타그램 셀스타그램  셀피  셀카  럽스타그램  홍보  인친  팔로우  팔로워  맞팔  선팔  좋아요  일상  휴일  주말  술스타그램  신림  교대  치킨  먹스타그램  좋아요반사  openrp  wwerp,4.0,skaalstj_9522,"['#강남', '#홍대', '#광주', '#고1', '#고2', '#고3', '#얼짱', '#얼스타그램', '#셀스타그램', '#셀피', '#셀카', '#럽스타그램', '#홍보', '#인친', '#팔로우', '#팔로워', '#맞팔', '#선팔', '#좋아요', '#일상', '#휴일', '#주말', '#술스타그램', '#신림', '#교대', '#치킨', '#먹스타그램', '#좋아요반사', '#openrp', '#wwerp']"
오우 메뉴 굳 치킨 한식부페 무한리필 시청역 닭파티,6.0,parkyoungho1214,"['#메뉴', '#굳', '#치킨', '#한식부페', '#무한리필', '#시청역', '#닭파티']"
헐 치즈으으으으으  맛있겠어용  ,3.0,siall___smp,[]
 주말동안 처갓집에서 놀고 계양산 탐  저녁엔 원이네랑 만남          토요일에 원래는 시골 가기로 했었다가 눈소식에 취소함  댄스학원 갔다가 처갓집가서 자고옴 ㅋ 밥먹고 신년회로 회  치킨 등등 사다먹고 오붓한 시간을 보내고 담날 아침 먹자마자 계양산 탐  산타기를 너무너무 싫어하는 나지만  새해를 맞이 장인 장모님 모시고 아이들과 함께 출발 ㅋ 출렁다리를 갔는데 안출렁 거려서 내가 출렁거리게 만듦 ㅋㅋ 간만에 산을타니 땀도나고 ㅋ 내려오면서 황기순칼국수 가서 칼국수 먹고 임학역에서 전철타고 계산역까지 옴 ㅋ 한정거장 ㅋㅋㅋ 집에와서 좀 쉬다가 저녁엔 원이네랑 만나서 신년회함 ㅋ 우리딸 전교 부회장 된거 축하한다며 형수가  스왈로브스키  목걸이를 기념 선물로 사옴  ㅠ ㅠ 대박 감동            인삼주에 바베큐에 조개전골에 또 술 마시고 그대로 뻗어잔 어제 ㅋㅋㅋ 간만에 즐겁고 재밌었던 주말           일기  처갓집  장인  장모님  주말  계양산  출렁다리  개구쟁이  스왈로브스키  목걸이  부회장  선물  기념  고마워  감사함  고마움  대박  이웃  형  등산  치킨  아이스크림  연어회  주말스타그램,123.0,bjjaemin,"['#일기', '#처갓집', '#장인', '#장모님', '#주말', '#계양산', '#출렁다리', '#개구쟁이', '#스왈로브스키', '#목걸이', '#부회장', '#선물', '#기념', '#고마워', '#감사함', '#고마움', '#대박', '#이웃', '#형', '#등산', '#치킨', '#아이스크림', '#연어회', '#주말스타그램']"
 훌랄라치킨훌랄라치킨의 BEST 메뉴 치즈양념구이로사행시를 해보았는데요  재치있는 사행시를 댓글로 남겨주세요  달콤한 치즈양념구이 먹고치밥은 필수인거 다들 아시죠   지금 가까운 훌랄라치킨에서 만나보세요 ,47.0,hoolala_official,['#훌랄라치킨훌랄라치킨의']
  굽네치킨  볼케이노   볼케이노 오리지널  18 000요즘 항상  고추바사삭 만 먹다가대학생때 신메뉴 볼케이노에 빠졌었는데몇년만에 다시 먹어도 맛있네  맛있게 적당히 매콤해서 스트레스에 딱이다  굽네치킨  굽네볼케이노  굽네치킨볼케이노  볼케이노치킨  치킨  치킨추천  맵치킨  먹스타그램  치맥  배달음식  치킨추천  치킨스타그램  먹스타맞팔  먹스타소통  좋반  좋아요반사,3.0,_shineheee,"['#볼케이노', '#고추바사삭', '#굽네치킨', '#굽네볼케이노', '#굽네치킨볼케이노', '#볼케이노치킨', '#치킨', '#치킨추천', '#맵치킨', '#먹스타그램', '#치맥', '#배달음식', '#치킨추천', '#치킨스타그램', '#먹스타맞팔', '#먹스타소통', '#좋반', '#좋아요반사']"
 이을박 방학중 투다리 불금 내사랑 쪼꼬미 우리집막내   겨울  온수풀  물놀이  온천수  더글로리  봉산찜갈비  투다리  김치우동  치킨  폭풍흡입 ㅋㅋㅋ,1.0,runrun2412,"['#이을박', '#방학중', '#투다리', '#불금', '#내사랑', '#쪼꼬미', '#우리집막내', '#🤍', '#겨울', '#온수풀', '#물놀이', '#온천수', '#더글로리', '#봉산찜갈비', '#투다리', '#김치우동', '#치킨', '#폭풍흡입']"
 한주의 시작 닭강정과 시작하세요     원닭강정  닭강정  치킨 이천맛집  증포맛집 닭강정맛집  치킨맛집 아이반찬 아이간식 맥주안주 소주안주 안주  오픈  신상맛집 국내산  냉동닭     수입닭    ,14.0,won_gangjung,"['#원닭강정', '#닭강정', '#치킨', '#이천맛집', '#증포맛집', '#닭강정맛집', '#치킨맛집', '#아이반찬', '#아이간식', '#맥주안주', '#소주안주', '#안주', '#오픈', '#신상맛집', '#국내산🙆', '#냉동닭🙅\u200d♀️', '#수입닭🙅\u200d♀️']"
 바람 쐬고 와서 먹는 야식이 최고지  티비 보면서 주말 마무리  주말  야식  이마트  노브랜드  치킨봉  맥주안주  치킨 매콤치킨봉  해시브라운  가래떡구이,3.0,gluttonyu,"['#주말', '#야식', '#이마트', '#노브랜드', '#치킨봉', '#맥주안주', '#치킨', '#매콤치킨봉', '#해시브라운', '#가래떡구이']"
