,ID,Contents,Tags,Likes,Scaled_Likes,Tag_count
1210,lets.home.styling,로제떡볶이 떡볶이 순대 튀김 치킨많아 보이지 않았은데 배 부르게 먹었어요 튀김도 다양하게 많이 들어가 있고한꺼번에 다 먹을 수 있어서 신난다태리로제떡볶이 푸디 foodie 먹스타그램 존맛탱 먹스타 인스타그램 맛스타그램 맛스타 푸드스타그램 맛집 인싸 먹방 인친 소통 신혼부부 일상 신혼일기 팔로우 팔로우반사 좋아요 좋아요반사 맞팔 선팔하면맞팔 음식스타그램,"#로제떡볶이, #떡볶이, #순대, #튀김, #치킨많아, #태리로제떡볶이, #푸디, #foodie, #먹스타그램, #존맛탱, #먹스타, #인스타그램, #맛스타그램, #맛스타, #푸드스타그램, #맛집, #인싸, #먹방, #인친, #소통, #신혼부부, #일상, #신혼일기, #팔로우, #팔로우반사, #좋아요, #좋아요반사, #맞팔, #선팔하면맞팔, #음식스타그램",70.0,0.00822175240779892,30
1211,seyeon1119,점심은두끼오랜만에맛있다오늘은돌밥해방맛점점심당진맛집떡볶이먹팔먹스타먹팔소통겨울방학방학메뉴방학식단오늘은뭐먹지,"#점심은, #두끼, #오랜만에, #맛있다, #오늘은, #돌밥해방, #맛점, #점심, #당진맛집, #떡볶이, #먹팔, #먹스타, #먹팔소통, #겨울방학, #방학메뉴, #방학식단, #오늘은뭐먹지",2.0,0.0002349072116513977,17
1212,s.__ji3483,위 사진은 회원님 동의를 받은 1월 10일 수익 사진입니다남녀노소 합법적으로 당일 수익보장이 글을 보신 인 친분들 문의사항이 있으시면카카오톡 또는 네이버 밴드 입장하셔서 상담 신청하세요 당일 수익 100 당일 환급 100  육아맘 직장인 대학생 누구나 가능한 선착순 투자 상품 안내 각종 대출  각종 채무  등으로 힘들어하시는 분 주식  비트코인  부동산 등 손실이 많으신 분 노후준비  은퇴설계 계획이 전혀 안 돼 있는 분 종잣돈  내 집 마련  사업 자금 등 목적자금을 마련해야 하는 분 어디서든 간편하게 핸드폰으로 투자해서 수익 냅니다 비싼 초기 비용 NO 소액 투자 OK긴 글 읽어주셔서 감사합니다 오늘도 행복하세요,,1.0,0.00011745360582569885,0
1213,kkinjon010,최애 분식집떡볶이 짱맛,"#떡볶이, #짱맛",3.0,0.00035236081747709656,2
1214,__camping_g,지난 장박때는 추우니까떡복이와 오뎅과 물떡그리고 호떡도만들어먹었다오랜만에 고기도 굽굽 파양념해서 같이 먹으니까 너무너무 맛있엇다이제 곧 장박이 끝나가는데 너모 아쉽당 캠핑스타그램떡볶이오뎅물덕삼겹살파절이장박캠핑요리캠핑간식직접만든호떡배부르다,"#캠핑스타그램, #떡볶이, #오뎅, #물덕, #삼겹살, #파절이, #장박, #캠핑요리, #캠핑간식, #직접만든호떡, #배부르다",11.0,0.0012919896640826874,11
1215,youngtruck_bunsik,분식차분식차가격간식차간식차가격영트럭분식떡볶이어묵튀김순대떡볶이어묵왕파닭꼬치소떡,"#분식차, #분식차가격, #간식차, #간식차가격, #영트럭분식, #떡볶이, #어묵, #튀김, #순대, #떡볶이, #어묵, #왕파닭꼬치, #소떡",4.0,0.0004698144233027954,13
1216,youngtruck_bunsik,분식차분식차가격간식차간식차가격영트럭분식떡볶이어묵튀김순대떡볶이어묵왕파닭꼬치소떡,"#분식차, #분식차가격, #간식차, #간식차가격, #영트럭분식, #떡볶이, #어묵, #튀김, #순대, #떡볶이, #어묵, #왕파닭꼬치, #소떡",3.0,0.00035236081747709656,13
1217,eunsonge48,아이들반찬춘천에서한달살기불고기미역줄기볶음제육볶음 오이무침오뎅볶음 떡볶이,"#아이들반찬, #춘천에서한달살기, #불고기, #미역줄기볶음, #제육볶음, #오이무침, #오뎅볶음, #떡볶이",4.0,0.0004698144233027954,8
1218,community_foodwaves,Spicy ddukbokki that has been patented Yoon Ok Yeon Grandmothers Ddukbokki was established in 1974 and has built a steady following for spicy rice cake lovers They only have one level of spice which is very spicy and  it is the kind of spice that has a slow build up but definitely gets you sweating  Their ddukbokki and other items are super affordable ranging from 14 per portion and great for a quick bite Since the ddukbokki itself is spicy and has a lot of spicy soup its best enjoyed with fried fish cake and dumpling  The fish cake is crispy and savory and the dumpling is very simple filled with little bits of clear noodles This spicy meal was best enjoyed with Cool Piece a refreshing and fruity drink that eases the tongue My favorite flavor was peach  The restaurant had lots of indoor seating but was pretty crowded Since service is super quick you can get in and out or even get food for take out as well I definitely recommend it for all the spicy lovers out there 떡볶이 윤옥연할매떡볶이 대구 맛집 eatlocal supportlocal koreanfood ddukbokki ricecake spicy dumpling fishcake daegu korea food foodie foodphotography foodblogger communityfoodwaves,"#떡볶이, #윤옥연할매떡볶이, #대구, #맛집, #eatlocal, #supportlocal, #koreanfood, #ddukbokki, #ricecake, #spicy, #dumpling, #fishcake, #daegu, #korea, #food, #foodie, #foodphotography, #foodblogger, #communityfoodwaves",15.0,0.0017618040873854828,19
1219,minwonlove,무침야끼만두떡볶이밀크쉐이크진화맵찌리됐네간식타임동네떡볶이어닝바포장이발각,"#무침야끼만두, #떡볶이, #밀크쉐이크, #진화, #🌶, #🔥, #맵찌리됐네, #간식타임, #동네떡볶이, #어닝바, #포장, #이발각",22.0,0.002583979328165375,12
