id,title,author,summary,rating,genre,format,description,serialize,potenup,link
654748,옥탑방 갑남을녀,smk3****,동거는 어려워,9.87,drama,스토리,남녀 주인공의 동거생활을 위주로 펼쳐지는 개성 강한 여러 캐릭터들의 대학생활 로맨틱 코미디♥ (연재주기 : 월2~3회),False,False,https://comic.naver.com/bestChallenge/list?titleId=654748
60310,우리집,g_g_****,성장 드라마,9.72,drama,스토리,성장 드라마,False,False,https://comic.naver.com/bestChallenge/list?titleId=60310
697279,마음을 훔치는 여자,writ****,사람의 마음을 훔칠 수 있다면?,9.71,drama,스토리,사람의 마음을 훔칠 수 있다면? 물건을 훔치면 사람의 마음을 훔치는 여자 지민의 진짜 마음 찾기!!!!,False,False,https://comic.naver.com/bestChallenge/list?titleId=697279
665932,그대 첫사랑,zktk****,내 친구의 남자친구,9.87,drama,스토리,"너는 내 친구의 남자친구니까. 
엇갈린 마음의 행방을 찾을 수 없는 그들의 이야기.
★인스타 clary_kang",False,False,https://comic.naver.com/bestChallenge/list?titleId=665932
700013,LOVE FIVE!,amyo****,체육과에서 펼쳐지는 좌충우돌 러브스토리,8.93,drama,스토리,체육과에서 펼쳐지는 좌충우돌 러브스토리,False,False,https://comic.naver.com/bestChallenge/list?titleId=700013
569010,루턴 -past story-,jouj****,10년간의 혁명 이야기.,9.84,drama,스토리,특수한 능력을 가진 소년이 자신의 동료들과 함께한 10년간의 이야기.,False,False,https://comic.naver.com/bestChallenge/list?titleId=569010
648992,옆집여대생,dyde****,순정웹툰,9.81,drama,옴니버스,옆집으로 이사 온 여대생과 늦깎이 작가지망생의 로맨스,False,False,https://comic.naver.com/bestChallenge/list?titleId=648992
695195,좋아하는부분,infi****,빠져드는 부분,9.87,drama,스토리,극한의 남자취향을 가진 여인 소우주의 고군분투 로맨스,True,False,https://comic.naver.com/bestChallenge/list?titleId=695195
690175,지울 수 있을까?,yune****,"과거로 인한 트라우마, 반복되는 꿈. 과연 지울 수 있을까?",9.89,drama,스토리,"과거로 인한 트라우마, 반복되는 꿈. 
과연 지울 수 있을까?",False,False,https://comic.naver.com/bestChallenge/list?titleId=690175
651626,어항속 꽃밭,gh_6****,어항속 꽃밭,9.85,drama,스토리,학교를 다니며 일어나는 일들,False,False,https://comic.naver.com/bestChallenge/list?titleId=651626
689561,망상되감기,rlag****,아이들은 성장한다.,9.89,drama,스토리,성장/루프/초능력자. 망상을 현실로 만들 수 있는 소년. 그를 감시하는 비밀조직의 아이들과 성장. 매주 목요일 이상과 현실이 격돌한다!,False,False,https://comic.naver.com/bestChallenge/list?titleId=689561
687571,너를 싫어하는 방법,10****,이것 참 난감한 짝사랑,9.88,drama,스토리,베프인 다솜의 남친을 좋아하게 된 미리. 어떻게 하면 그 애를 싫어할 수 있을까?,False,False,https://comic.naver.com/bestChallenge/list?titleId=687571
679263,IDOL FAN,gree****,은둔형 외톨이인 성하는 KEZZ의 팬사인회에 가기 위해 집 밖으로 나오게 되는데..,9.57,drama,스토리,"은둔형 외톨이 팬인 성하와 팬을 싫어하는 아이돌은 은한이 팬사인회를 기점으로 얽히게 된다.
썸남썸녀인 하랑과 용대. 하랑은 운좋게 데뷔조에 들어갈 오디션을 보게되는데..",False,False,https://comic.naver.com/bestChallenge/list?titleId=679263
